race_id,win_market_id
29481092.1100,162611201
29481092.1135,162611203
29481092.1210,162611205
29481092.1245,162611207
29481092.1325,162611209
29481092.1400,162611211
29481092.1440,162611213
29478584.1310,162570312
29478584.1340,162570317
29478584.1410,162570322
29478584.1440,162570327
29478584.1510,162570332
29478584.1540,162570337
29478584.1610,162570342
29472988.1300,162447469
29472988.1330,162447474
29472988.1400,162447479
29472988.1430,162447484
29472988.1500,162447489
29472988.1530,162447494
29472988.1600,162447499
29472988.1635,162447504
29478599.1250,162570413
29478599.1320,162570418
29478599.1350,162570423
29478599.1420,162570428
29478599.1450,162570433
29478599.1520,162570438
29478599.1550,162570443
29492457.1939,162841954
29478615.1555,162570532
29478615.1630,162570537
29478615.1700,162570542
29478615.1730,162570547
29478615.1800,162570552
29478615.1830,162570557
29478615.1900,162570562
29478615.1930,162570567
29494028.1010,162873674
29494028.1040,162873676
29494028.1110,162873678
29494028.1150,162873680
29494028.1230,162873682
29494028.1310,162873684
29494028.1345,162873686
29494028.1420,162873688
29498353.1245,162968931
29498353.1355,162968935
29469166.1700,162382289
29469166.1733,162382290
29469166.1804,162382291
29469166.1835,162382292
29469166.1906,162382293
29469166.1938,162382294
29469166.2010,162382295
29469166.2042,162382296
29469166.2117,162382297
29469166.2153,162382298
29469166.2225,162382299
29469174.2050,162382311
29469174.2120,162382312
29463869.2245,162292201
29469174.2150,162382313
29469174.2220,162382314
29463869.2318,162292204
29478697.1025,162570733
29469174.2350,162382317
29478697.1100,162570735
29469175.1715,162382319
29478697.1135,162570737
29469175.1745,162382320
29498353.1505,162968939
29478697.1210,162570739
29469175.1815,162382321
29478697.1245,162570741
29469175.2045,162382326
29478697.1325,162570743
29463869.0117,162292216
29478697.1405,162570745
29469175.1845,162382322
29469175.1945,162382324
29469175.1915,162382323
29478697.1515,162570749
29478697.1440,162570747
29463869.0146,162292219
29463869.0214,162292222
29469182.1705,162382338
29469182.1740,162382341
29469182.1814,162382344
29469182.1847,162382347
29469182.1922,162382350
29469182.1955,162382353
29469182.2030,162382356
29469182.2105,162382359
29469182.2142,162382362
29469182.2217,162382365
29469182.2247,162382368
29469182.2316,162382371
29469184.0010,162382380
29469184.0039,162382383
29469184.0108,162382386
29469184.0138,162382389
29469184.0206,162382392
29469184.0234,162382395
29469184.0302,162382398
29469184.0330,162382401
29469187.2300,162382427
29469187.2332,162382430
29469187.0002,162382433
29469187.0032,162382436
29467872.1235,162357863
29469187.0102,162382439
29469187.0132,162382442
29467872.1310,162357868
29469187.0202,162382445
29469187.0232,162382448
29467872.1345,162357873
29469189.1715,162382452
29467872.1420,162357878
29469189.1743,162382455
29469189.1811,162382458
29467872.1455,162357883
29469189.1837,162382461
29467872.1530,162357888
29469189.1904,162382464
29469189.1931,162382467
29463866.2322,162319367
29467872.1605,162357893
29469189.1957,162382470
29469189.2026,162382473
29469189.2053,162382476
29469189.2120,162382479
29469195.1655,162382569
29469195.1722,162382572
29469195.1749,162382575
29469195.1816,162382578
29469195.1843,162382581
29469195.1910,162382584
29469195.1937,162382587
29469195.2004,162382590
29483781.0351,162657915
29469174.2250,162382315
29469174.2320,162382316
29469175.2015,162382325
29463869.2347,162292207
29463869.0016,162292210
29463869.0048,162292213
29467197.2212,162343764
29462681.1700,162262387
29480847.1835,162605950
29467202.0149,162343808
29480847.1905,162605955
29469195.2031,162382593
29500874.1720,163021590
29500874.1748,163021593
29500874.1816,163021596
29500874.1844,163021599
29480854.1210,162605965
29500874.1912,163021602
29500874.1940,163021605
29500874.2008,163021608
29473001.1250,162448172
29473001.1320,162448177
29497572.1620,162956084
29473001.1350,162448182
29497572.1650,162956089
29473001.1420,162448187
29497572.1720,162956094
29473001.1450,162448192
29497572.1750,162956099
29473001.1520,162448197
29497572.1820,162956104
29497572.1850,162956109
29497572.1920,162956114
29489753.1710,162775896
29489753.1737,162775897
29489753.1831,162775899
29489753.1925,162775901
29489753.2019,162775903
29489753.1804,162775898
29489753.1858,162775900
29489753.1952,162775902
29469227.2200,162382701
29469227.2227,162382704
29499660.1300,162997105
29469227.2255,162382707
29469227.2325,162382710
29499660.1330,162997110
29469227.2354,162382713
29469227.0023,162382716
29499660.1405,162997115
29469227.0052,162382719
29499660.1435,162997120
29469227.0120,162382722
29479727.1715,162589703
29499660.1510,162997125
29479727.1745,162589704
29499660.1545,162997130
29499660.1615,162997135
29487647.1400,162718688
29487647.1435,162718693
29489768.2300,162776041
29487647.1505,162718698
29489768.2322,162776044
29489768.2344,162776047
29487647.1540,162718703
29489305.1050,162767856
29489768.0006,162776050
29489305.1125,162767858
29489305.1200,162767860
29489768.0028,162776053
29487647.1610,162718708
29489305.1235,162767862
29489768.0050,162776056
29489305.1310,162767864
29487647.1645,162718713
29489768.0112,162776059
29489305.1335,162767866
29489305.1410,162767868
29489768.0134,162776062
29489305.1445,162767870
29487647.1715,162718718
29489768.0156,162776065
29489305.1520,162767872
29487647.1745,162718723
29495913.1030,162907140
29495913.1105,162907142
29495913.1140,162907144
29495913.1215,162907146
29495913.1255,162907148
29495913.1330,162907150
29495913.1407,162907152
29493442.1240,162858001
29495913.1442,162907154
29493442.1310,162858006
29493442.1345,162858011
29479730.1710,162589733
29493442.1420,162858016
29479730.1737,162589734
29493442.1455,162858021
29493442.1530,162858026
29493442.1600,162858031
29493442.1635,162858036
29479730.1952,162589739
29480697.1300,162604098
29480697.1330,162604103
29480697.1405,162604108
29480697.1435,162604113
29480697.1510,162604118
29480697.1545,162604123
29495442.1300,162899036
29495442.1335,162899041
29495442.1410,162899046
29495442.1445,162899051
29495442.1520,162899056
29495442.1555,162899061
29495442.1630,162899066
29479732.2255,162589755
29468482.1245,162366602
29468482.1320,162366607
29468482.1355,162366612
29468482.1425,162366617
29468482.1500,162366622
29482369.2305,162628769
29468482.1535,162366627
29482369.2333,162628772
29482369.0001,162628775
29468482.1610,162366632
29482369.0029,162628778
29468482.1640,162366637
29482369.0057,162628781
29482369.0125,162628784
29482369.0153,162628787
29482369.0221,162628790
29482369.0249,162628793
29482369.0317,162628796
29482369.0345,162628799
29482369.0413,162628802
29489794.1655,162776257
29489794.1722,162776260
29489794.1749,162776263
29489794.1816,162776266
29489794.1843,162776269
29489794.1910,162776272
29489794.1937,162776275
29489794.2004,162776278
29489794.2031,162776281
29489794.2058,162776284
29468488.1220,162366734
29468488.1255,162366739
29494339.1700,162884490
29494339.1733,162884491
29468488.1325,162366744
29494339.1804,162884492
29468488.1400,162366749
29494339.1835,162884493
29468488.1435,162366754
29469247.0007,162383142
29468488.1510,162366759
29469247.0035,162383145
29469247.0103,162383148
29469247.0131,162383151
29468488.1625,162366769
29469247.0159,162383154
29492453.2245,162841907
29469247.0227,162383157
29468488.1700,162366774
29492453.2314,162841910
29469247.0255,162383160
29492453.2343,162841913
29480714.1430,162604342
29469247.0323,162383163
29492453.0012,162841916
29480714.1500,162604347
29469247.0351,162383166
29492453.0045,162841919
29480714.1535,162604352
29492453.0114,162841922
29492453.0143,162841925
29480714.1610,162604357
29492453.0212,162841928
29480714.1640,162604362
29480714.1710,162604367
29472940.1445,162446511
29489804.1720,162776404
29480714.1740,162604372
29489804.1748,162776407
29480714.1810,162604377
29489804.1816,162776410
29492457.1700,162841949
29492457.1733,162841950
29492457.1805,162841951
29489804.1844,162776413
29492457.1835,162841952
29492457.1907,162841953
29492457.2011,162841955
29492457.2043,162841956
29489804.1912,162776416
29489804.1940,162776419
29489804.2008,162776422
29489804.2036,162776425
29474152.1300,162474197
29482816.1240,162637172
29482816.1315,162637177
29486106.1020,162686331
29486106.1055,162686333
29482816.1350,162637182
29486106.1130,162686335
29486106.1205,162686337
29482816.1425,162637187
29486106.1245,162686339
29486106.1320,162686341
29486106.1355,162686343
29482816.1500,162637192
29486106.1435,162686345
29474152.1330,162474202
29486106.1510,162686347
29472940.1545,162446521
29482816.1535,162637197
29498583.1804,162970811
29482816.1605,162637202
29482816.1640,162637207
29498583.1907,162970813
29489805.1800,162776474
29472940.1615,162446526
29489805.1827,162776477
29489805.1854,162776480
29498583.2011,162970815
29474152.1400,162474207
29489805.1921,162776483
29489805.1948,162776486
29498583.2043,162970816
29489805.2015,162776489
29489805.2042,162776492
29489805.2109,162776495
29489805.2136,162776498
29489805.2203,162776501
29474152.1500,162474217
29492462.1715,162842101
29492462.1745,162842102
29492462.1815,162842103
29492462.1845,162842104
29492462.1915,162842105
29492462.1945,162842106
29492462.2015,162842107
29492462.2045,162842108
29473583.1715,162457084
29473583.1745,162457085
29473583.1815,162457086
29473583.1845,162457087
29473583.1915,162457088
29473583.1945,162457089
29473583.2015,162457090
29473583.2045,162457091
29473583.2115,162457092
29483564.2217,162655240
29474154.1410,162474244
29492468.1710,162842225
29492468.1737,162842226
29492468.1804,162842227
29492468.1831,162842228
29492468.1858,162842229
29492468.1925,162842230
29492468.1952,162842231
29492468.2019,162842232
29478769.1230,162571894
29493454.1230,162858621
29478769.1300,162571899
29493454.1300,162858626
29478769.1330,162571904
29478769.1400,162571909
29493454.1335,162858631
29478769.1430,162571914
29493454.1410,162858636
29486311.0134,162687551
29478769.1500,162571919
29493454.1445,162858641
29478769.1530,162571924
29493454.1520,162858646
29473614.1710,162457239
29473614.1737,162457240
29478769.1600,162571929
29473614.1804,162457241
29493454.1550,162858651
29473614.1831,162457242
29473614.1858,162457243
29473614.1925,162457244
29473614.2019,162457246
29473614.2046,162457247
29473614.1952,162457245
29486311.0156,162687554
29473615.2300,162457251
29473615.2322,162457254
29473615.2344,162457257
29473615.0006,162457260
29473615.0028,162457263
29486161.1733,162686640
29486161.1700,162686639
29486161.1835,162686642
29486161.1804,162686641
29465091.1035,162309810
29486161.1906,162686643
29486161.1938,162686644
29486161.2010,162686645
29486161.2042,162686646
29465091.1110,162309812
29473615.0134,162457272
29486161.2114,162686647
29486161.2146,162686648
29465091.1150,162309814
29473615.0156,162457275
29465091.1335,162309820
29465091.1225,162309816
29465091.1300,162309818
29486233.2120,162686658
29465091.1410,162309822
29486233.2050,162686657
29486233.2150,162686659
29486233.2220,162686660
29486233.2250,162686661
29473616.1722,162457286
29486233.2350,162686663
29473616.1655,162457283
29473616.1749,162457289
29486233.2320,162686662
29473616.1816,162457292
29473616.1843,162457295
29473616.1910,162457298
29473616.1937,162457301
29473616.2004,162457304
29473616.2031,162457307
29478781.1615,162572030
29465091.1525,162309826
29478781.1645,162572035
29478781.1715,162572040
29494339.1907,162884494
29478781.1745,162572045
29478781.1815,162572050
29478781.1845,162572055
29478781.1915,162572060
29494339.1939,162884495
29486243.2110,162686769
29486243.2138,162686772
29486243.2240,162686778
29486243.2311,162686781
29486243.2341,162686784
29486243.0011,162686787
29486243.0041,162686790
29486243.0110,162686793
29486243.0140,162686796
29486243.0208,162686799
29494339.2043,162884497
29486246.1705,162686807
29486246.1740,162686810
29486246.1815,162686813
29486246.1849,162686816
29494347.2330,162884608
29486246.1925,162686819
29486246.1958,162686822
29486246.2031,162686825
29486246.2104,162686828
29486246.2136,162686831
29494347.2357,162884611
29486246.2208,162686834
29487687.1310,162719603
29486246.2240,162686837
29487687.1345,162719608
29470292.1315,162400123
29487687.1415,162719613
29470292.1345,162400128
29487687.1450,162719618
29470292.1420,162400133
29487687.1520,162719623
29495497.1235,162899849
29470292.1455,162400138
29487687.1555,162719628
29495497.1305,162899854
29470292.1530,162400143
29495497.1340,162899859
29470292.1610,162400148
29470292.1645,162400153
29495497.1415,162899864
29495497.1450,162899869
29495497.1525,162899874
29495497.1600,162899879
29496343.2200,162924471
29480740.1240,162604984
29496343.2227,162924474
29496343.2255,162924477
29480740.1310,162604991
29496343.2325,162924480
29496343.2354,162924483
29496343.0023,162924486
29480740.1340,162604998
29496343.0052,162924489
29496343.0120,162924492
29480740.1415,162605005
29480740.1445,162605012
29480740.1520,162605019
29480740.1555,162605026
29480740.1630,162605033
29472787.1700,162443597
29471348.1700,162416623
29471348.1733,162416624
29471348.1804,162416625
29471348.1835,162416626
29470324.1305,162400243
29471348.1938,162416628
29471348.1906,162416627
29471348.2010,162416629
29471348.2121,162416631
29470324.1335,162400248
29471348.2049,162416630
29471348.2154,162416632
29470324.1410,162400253
29471355.2105,162416638
29471355.2139,162416641
29470324.1445,162400258
29471355.2213,162416644
29470324.1520,162400263
29471355.2247,162416647
29471355.2321,162416650
29470324.1600,162400268
29471355.2351,162416653
29471355.0020,162416656
29470324.1635,162400273
29471355.0050,162416659
29471363.1720,162416677
29471363.1748,162416680
